PLAYER_ID,PLAYER_NAME,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,SEASON_1
243,Aaron McKie,31.0,77,209,1994,2023
1425,Aaron Williams,32.0,81,240,Undrafted,2023
1502,Adonal Foyle,29.0,82,265,1997,2023
1559,Adrian Griffin,29.0,77,230,Undrafted,2023
1733,Al Harrington,24.0,81,250,1998,2023
673,Alan Henderson,31.0,81,240,1995,2023
2682,Alex Garcia,24.0,75,195,Undrafted,2023
275,Allan Houston,33.0,78,200,1993,2023
947,Allen Iverson,29.0,72,165,1996,2023
297,Alonzo Mourning,34.0,82,261,1992,2023
2228,Alton Ford,23.0,81,280,2001,2023
1541,Alvin Williams,29.0,77,185,1997,2023
1043,Amal McCaskill,30.0,83,235,1996,2023
2405,Amar'e Stoudemire,21.0,82,245,2002,2023
1889,Andre Miller,28.0,74,200,1999,2023
1905,Andrei Kirilenko,23.0,81,225,1999,2023
692,Andrew DeClercq,31.0,82,255,1995,2023
358,Anfernee Hardaway,32.0,79,215,1993,2023
1738,Ansu Sesay,27.0,81,225,1998,2023
1712,Antawn Jamison,28.0,81,225,1998,2023
1853,Anthony Carter,29.0,74,195,Undrafted,2023
924,Anthony Goldwire,32.0,74,182,1994,2023
1533,Anthony Johnson,29.0,75,190,1997,2023
324,Anthony Peeler,34.0,76,208,1992,2023
952,Antoine Walker,27.0,81,245,1996,2023
1498,Antonio Daniels,29.0,76,205,1997,2023
213,Antonio Davis,35.0,81,230,1990,2023
686,Antonio McDyess,29.0,81,245,1995,2023
1506,Austin Croshere,29.0,82,242,1997,2023
422,Avery Johnson,39.0,71,185,Undrafted,2023
1884,Baron Davis,25.0,75,223,1999,2023
1052,Ben Handlogten,30.0,82,240,Undrafted,2023
1112,Ben Wallace,29.0,81,240,Undrafted,2023
902,Bimbo Coles,36.0,74,182,1990,2023
448,Bo Outlaw,33.0,80,220,Undrafted,2023
682,Bob Sura,31.0,77,200,1995,2023
1517,Bobby Jackson,31.0,73,185,1997,2023
2250,Bobby Simmons,24.0,78,235,2001,2023
1719,Bonzi Wells,27.0,77,210,1998,2023
2564,Boris Diaw,22.0,80,215,2003,2023
2411,Bostjan Nachbar,23.0,81,221,2002,2023
1802,Brad Miller,28.0,84,261,Undrafted,2023
2220,Brandon Armstrong,24.0,77,185,2001,2023
2599,Brandon Hunter,23.0,79,260,2003,2023
2217,Brendan Haywood,24.0,84,268,2001,2023
699,Brent Barry,32.0,78,203,1995,2023
1510,Brevin Knight,28.0,70,170,1997,2023
2073,Brian Cardinal,27.0,80,245,2000,2023
2567,Brian Cook,23.0,81,234,2003,2023
258,Brian Grant,32.0,81,254,1994,2023
2243,Brian Scalabrine,26.0,81,240,2001,2023
1730,Brian Skinner,28.0,81,265,1998,2023
2639,Britton Johnsen,24.0,82,210,Undrafted,2023
1477,Bruce Bowen,33.0,79,200,Undrafted,2023
1743,Bruno Sundov,24.0,86,246,1998,2023
1724,Bryce Drew,29.0,75,184,1998,2023
935,Bryon Russell,33.0,79,225,1993,2023
384,Calbert Cheaney,32.0,79,217,1993,2023
1916,Calvin Booth,28.0,83,231,1999,2023
2306,Carlos Arroyo,24.0,74,202,Undrafted,2023
2430,Carlos Boozer,22.0,81,258,2002,2023
2546,Carmelo Anthony,20.0,80,220,2003,2023
2406,Caron Butler,24.0,79,217,2002,2023
2418,Casey Jacobsen,23.0,78,215,2002,2023
2456,Cezary Trybanski,24.0,86,240,Undrafted,2023
891,Charles Oakley,40.0,81,245,1985,2023
369,Charlie Ward,33.0,74,185,1994,2023
1497,Chauncey Billups,27.0,75,202,1997,2023
685,Cherokee Parks,31.0,83,240,1995,2023
2365,Chris Andersen,25.0,82,220,Undrafted,2023
2547,Chris Bosh,20.0,82,210,2003,2023
1544,Chris Crawford,29.0,81,235,1997,2023
2423,Chris Jefferies,24.0,80,230,2002,2023
2549,Chris Kaman,22.0,84,268,2003,2023
2036,Chris Mihm,24.0,84,265,2000,2023
185,Chris Webber,31.0,82,245,1993,2023
43,Chris Whitney,32.0,72,175,1993,2023
2404,Chris Wilcox,21.0,82,229,2002,2023
363,Christian Laettner,34.0,83,245,1992,2023
1088,Chucky Atkins,29.0,71,160,Undrafted,2023
221,Clar. Weatherspoon,33.0,79,270,1992,2023
361,Clifford Robinson,37.0,82,240,1989,2023
1894,Corey Maggette,24.0,78,228,1999,2023
916,Corie Blount,35.0,82,242,1993,2023
722,Corliss Williamson,30.0,79,245,1995,2023
2414,Curtis Borchardt,23.0,84,240,2002,2023
1749,Cuttino Mobley,28.0,76,215,1998,2023
2563,Dahntay Jones,23.0,78,210,2003,2023
2402,Dajuan Wagner,21.0,74,200,2002,2023
905,Dale Davis,35.0,83,252,1991,2023
1800,Damon Jones,27.0,75,185,Undrafted,2023
757,Damon Stoudamire,30.0,70,171,1995,2023
2245,Damone Brown,25.0,80,202,2001,2023
2424,Dan Dickau,25.0,72,190,2002,2023
2429,Dan Gadzuric,26.0,83,240,2002,2023
2061,Dan Langhi,26.0,83,220,2000,2023
344,Dana Barros,37.0,71,165,1989,2023
2091,Daniel Santiago,28.0,85,260,Undrafted,2023
1504,Danny Fortson,28.0,80,260,1997,2023
2032,Darius Miles,22.0,81,210,2000,2023
2443,Darius Songaila,26.0,81,248,2002,2023
2545,Darko Milicic,19.0,84,245,2003,2023
353,Darrell Armstrong,36.0,73,180,Undrafted,2023
239,Darrick Martin,33.0,71,170,Undrafted,2023
1032,Darvin Ham,30.0,79,240,Undrafted,2023
133,David Wesley,33.0,73,203,Undrafted,2023
2561,David West,23.0,81,240,2003,2023
2205,DeSagana Diop,22.0,84,300,2001,2023
2052,DeShawn Stevenson,23.0,77,210,2000,2023
2035,DerMarr Johnson,24.0,81,201,2000,2023
1507,Derek Anderson,29.0,77,195,1997,2023
965,Derek Fisher,29.0,73,205,1996,2023
934,Derrick Coleman,37.0,82,270,1990,2023
1760,Derrick Dial,28.0,76,184,1998,2023
2724,Desmond Ferguson,26.0,79,210,Undrafted,2023
2046,Desmond Mason,26.0,77,222,2000,2023
2667,Desmond Penigar,22.0,79,245,Undrafted,2023
1904,Devean George,26.0,80,240,1999,2023
2484,Devin Brown,25.0,77,235,Undrafted,2023
87,Dikembe Mutombo,38.0,86,265,1991,2023
1901,Dion Glover,25.0,77,225,1999,2023
1717,Dirk Nowitzki,26.0,84,245,1998,2023
2051,Donnell Harvey,23.0,80,220,2000,2023
923,Donyell Marshall,31.0,81,230,1994,2023
57,Doug Christie,34.0,78,205,1992,2023
77,Doug Overton,34.0,75,190,1991,2023
2400,Drew Gooden,22.0,82,242,2002,2023
2548,Dwyane Wade,22.0,76,212,2003,2023
1863,Earl Boykins,28.0,65,133,Undrafted,2023
2248,Earl Watson,25.0,73,190,2001,2023
2109,Eddie Gill,25.0,72,190,Undrafted,2023
2067,Eddie House,26.0,73,175,2000,2023
224,Eddie Jones,32.0,78,200,1994,2023
1944,Eddie Robinson,28.0,81,210,Undrafted,2023
2201,Eddy Curry,21.0,83,285,2001,2023
2059,Eduardo Najera,27.0,80,235,2000,2023
922,Elden Campbell,35.0,84,279,1990,2023
1882,Elton Brand,25.0,80,265,1999,2023
15,Eric Piatkowski,33.0,79,215,1994,2023
727,Eric Snow,31.0,75,204,1995,2023
677,Eric Williams,31.0,80,220,1995,2023
956,Erick Dampier,28.0,83,265,1996,2023
1065,Erick Strickland,30.0,75,210,Undrafted,2023
911,Ervin Johnson,36.0,83,255,1993,2023
2041,Etan Thomas,26.0,82,260,2000,2023
2436,Flip Murray,24.0,76,190,2002,2023
1922,Francisco Elson,28.0,84,235,1999,2023
2421,Frank Williams,24.0,75,212,2002,2023
697,Fred Hoiberg,31.0,77,210,1995,2023
2410,Fred Jones,25.0,74,218,2002,2023
56,Gary Payton,35.0,76,180,1990,2023
718,Gary Trent,29.0,80,250,1995,2023
248,George Lynch,33.0,80,235,1993,2023
2222,Gerald Wallace,21.0,79,215,2001,2023
2240,Gilbert Arenas,22.0,75,191,2001,2023
779,Glen Rice,37.0,80,228,1989,2023
299,Glenn Robinson,31.0,79,240,1994,2023
1921,Gordan Giricek,27.0,77,210,1999,2023
1761,Greg Buckner,27.0,76,210,1998,2023
731,Greg Ostertag,31.0,86,280,1995,2023
2045,Hedo Turkoglu,25.0,82,220,2000,2023
2673,Hiram Fuller,23.0,81,240,Undrafted,2023
270,Horace Grant,38.0,82,245,1987,2023
458,Howard Eisley,31.0,74,180,1994,2023
93,Hubert Davis,34.0,77,183,1992,2023
2137,Ime Udoka,26.0,77,215,Undrafted,2023
1956,Ira Newble,29.0,79,220,Undrafted,2023
2452,J.R. Bremer,23.0,74,185,Undrafted,2023
2074,Jabari Smith,27.0,83,240,2000,2023
1521,Jacque Vaughn,29.0,73,190,1997,2023
1751,Jahidi White,28.0,81,290,1998,2023
2054,Jake Tsakalidis,25.0,86,290,2000,2023
2063,Jake Voskuhl,26.0,83,245,2000,2023
147,Jalen Rose,31.0,80,217,1994,2023
2048,Jamaal Magloire,26.0,83,259,2000,2023
2224,Jamaal Tinsley,26.0,75,195,2001,2023
2037,Jamal Crawford,24.0,77,190,2000,2023
469,Jamal Mashburn,31.0,80,247,1993,2023
2441,Jamal Sampson,21.0,83,235,2002,2023
2592,James Jones,23.0,80,215,2003,2023
1899,James Posey,27.0,80,215,1999,2023
2249,Jamison Brewer,23.0,76,184,2001,2023
2457,Jannero Pargo,24.0,73,175,Undrafted,2023
2407,Jared Jeffries,22.0,83,230,2002,2023
2260,Jarron Collins,25.0,83,255,2001,2023
2553,Jarvis Hayes,22.0,79,220,2003,2023
2044,Jason Collier,26.0,84,260,2000,2023
2215,Jason Collins,25.0,84,260,2001,2023
2078,Jason Hart,26.0,75,185,2000,2023
2574,Jason Kapono,23.0,80,213,2003,2023
467,Jason Kidd,31.0,76,212,1994,2023
2202,Jason Richardson,23.0,78,225,2001,2023
1891,Jason Terry,26.0,74,180,1999,2023
1715,Jason Williams,28.0,73,190,1998,2023
1902,Jeff Foster,27.0,83,242,1999,2023
976,Jeff McInnis,29.0,76,179,1996,2023
2244,Jeff Trepagnier,24.0,76,200,2001,2023
1741,Jelani McCoy,26.0,82,245,1998,2023
979,Jermaine O'Neal,25.0,83,242,1996,2023
2602,Jerome Beasley,24.0,81,237,2003,2023
1744,Jerome James,28.0,85,272,1998,2023
2040,Jerome Moiso,26.0,82,235,2000,2023
966,Jerome Williams,31.0,81,206,1996,2023
711,Jerry Stackhouse,29.0,78,218,1995,2023
754,Jim Jackson,33.0,78,220,1992,2023
2412,Jiri Welsch,24.0,79,208,2002,2023
2207,Joe Johnson,23.0,79,235,2001,2023
693,Joe Smith,28.0,82,225,1995,2023
2038,Joel Przybilla,24.0,85,255,2000,2023
2422,John Salmons,24.0,79,210,2002,2023
961,John Wallace,30.0,81,225,1996,2023
468,Jon Barry,34.0,77,210,1992,2023
1886,Jonathan Bender,23.0,84,219,1999,2023
2668,Josh Davis,23.0,80,240,Undrafted,2023
2572,Josh Howard,24.0,79,210,2003,2023
2413,Juan Dixon,25.0,75,164,2002,2023
1908,Jumaine Jones,25.0,80,218,1999,2023
436,Juwan Howard,31.0,81,230,1994,2023
2079,Kaniel Dickens,25.0,80,215,2000,2023
2416,Kareem Rush,23.0,78,215,2002,2023
252,Karl Malone,40.0,81,259,1985,2023
2208,Kedrick Brown,23.0,79,222,2001,2023
2586,Keith Bogans,24.0,77,215,2003,2023
2693,Keith McLeod,24.0,74,190,Undrafted,2023
1496,Keith Van Horn,28.0,82,240,1997,2023
1509,Kelvin Cato,29.0,83,275,1997,2023
383,Kendall Gill,36.0,77,216,1990,2023
2570,Kendrick Perkins,19.0,82,280,2003,2023
72,Kenny Anderson,33.0,73,168,1991,2023
1903,Kenny Thomas,26.0,79,245,1999,2023
2030,Kenyon Martin,26.0,81,234,2000,2023
1721,Keon Clark,29.0,83,221,1998,2023
954,Kerry Kittles,30.0,77,180,1996,2023
708,Kevin Garnett,28.0,83,240,1995,2023
1563,Kevin Ollie,31.0,74,195,Undrafted,2023
788,Kevin Willis,41.0,84,245,1984,2023
2039,Keyon Dooling,24.0,75,190,2000,2023
2550,Kirk Hinrich,23.0,75,190,2003,2023
2632,Kirk Penney,23.0,77,220,Undrafted,2023
977,Kobe Bryant,25.0,78,220,1996,2023
703,Kurt Thomas,31.0,81,235,1995,2023
2198,Kwame Brown,22.0,83,248,2001,2023
2594,Kyle Korver,23.0,79,210,2003,2023
1885,Lamar Odom,24.0,82,225,1999,2023
441,Lamond Murray,31.0,79,236,1994,2023
1716,Larry Hughes,25.0,77,184,1998,2023
84,Latrell Sprewell,33.0,77,195,1992,2023
2544,LeBron James,19.0,80,240,2003,2023
2571,Leandro Barbosa,21.0,75,176,2003,2023
1924,Lee Nailon,29.0,81,238,1999,2023
1910,Leon Smith,23.0,82,235,1999,2023
283,Lindsey Hunter,33.0,74,195,1993,2023
2669,Linton Johnson,24.0,80,205,Undrafted,2023
2437,Lonny Baxter,25.0,80,260,2002,2023
2254,Loren Woods,26.0,86,261,2001,2023
953,Lorenzen Wright,28.0,83,240,1996,2023
446,Lucious Harris,33.0,77,205,1993,2023
2557,Luke Ridnour,23.0,74,175,2003,2023
2575,Luke Walton,24.0,80,235,2003,2023
2573,Maciej Lampe,19.0,83,240,2003,2023
2124,Malik Allen,26.0,82,255,Undrafted,2023
990,Malik Rose,29.0,79,255,1996,2023
2055,Mamadou N'diaye,29.0,84,255,2000,2023
1938,Manu Ginobili,26.0,78,210,1999,2023
1531,Marc Jackson,29.0,82,253,1997,2023
2556,Marcus Banks,22.0,74,200,2003,2023
948,Marcus Camby,30.0,83,225,1996,2023
2033,Marcus Fizer,25.0,80,260,2000,2023
2409,Marcus Haislip,23.0,82,230,2002,2023
1548,Mark Blount,28.0,84,250,1997,2023
349,Mark Jackson,39.0,75,195,1987,2023
2058,Mark Madsen,28.0,81,245,2000,2023
998,Mark Pope,31.0,82,235,1996,2023
2060,Marko Jaric,25.0,77,217,2000,2023
2605,Marquis Daniels,23.0,78,200,Undrafted,2023
2043,Mateen Cleaves,26.0,74,210,2000,2023
2440,Matt Barnes,24.0,79,235,2002,2023
2679,Matt Carroll,23.0,78,212,Undrafted,2023
1723,Matt Harpring,28.0,79,231,1998,2023
2466,Maurice Carter,27.0,77,210,Undrafted,2023
1508,Maurice Taylor,27.0,81,255,1997,2023
2246,Mehmet Okur,25.0,83,249,2001,2023
2408,Melvin Ely,26.0,82,261,2002,2023
2370,Mengke Bateer,28.0,83,290,Undrafted,2023
1897,Metta World Peace,24.0,79,246,1999,2023
2214,Michael Bradley,25.0,82,225,2001,2023
688,Michael Curry,35.0,77,210,Undrafted,2023
1720,Michael Doleac,27.0,83,262,1998,2023
714,Michael Finley,31.0,79,225,1995,2023
1709,Michael Olowokandi,29.0,84,270,1998,2023
2072,Michael Redd,24.0,78,215,2000,2023
1913,Michael Ruffin,27.0,80,246,1999,2023
1565,Michael Stewart,29.0,82,230,Undrafted,2023
2552,Michael Sweetney,21.0,80,260,2003,2023
2554,Mickael Pietrus,22.0,78,210,2003,2023
1710,Mike Bibby,26.0,73,190,1998,2023
2399,Mike Dunleavy,23.0,81,230,2002,2023
2229,Mike James,29.0,74,188,Undrafted,2023
2034,Mike Miller,24.0,80,218,2000,2023
2366,Mike Wilks,25.0,71,180,Undrafted,2023
1630,Mikki Moore,28.0,84,225,Undrafted,2023
1960,Milt Palacio,26.0,75,195,Undrafted,2023
348,Mitchell Butler,33.0,77,210,Undrafted,2023
2590,Mo Williams,21.0,73,185,2003,2023
983,Moochie Norris,30.0,74,188,1996,2023
2050,Morris Peterson,26.0,79,215,2000,2023
1737,Nazr Mohammed,26.0,82,250,1998,2023
2569,Ndudi Ebi,20.0,81,200,2003,2023
2403,Nene,21.0,83,260,2002,2023
89,Nick Van Exel,32.0,73,195,1993,2023
2401,Nikoloz Tskitishvili,21.0,84,225,2002,2023
178,Olden Polynice,39.0,82,250,1987,2023
932,Oliver Miller,34.0,81,315,1992,2023
2241,Omar Cook,22.0,73,190,2001,2023
970,Othella Harrington,30.0,81,235,1996,2023
136,P.J. Brown,34.0,83,239,1992,2023
1727,Pat Garrity,27.0,81,238,1998,2023
2200,Pau Gasol,23.0,84,240,2001,2023
1514,Paul Grant,30.0,84,245,1997,2023
1718,Paul Pierce,26.0,78,230,1998,2023
2321,Paul Shirley,26.0,82,230,Undrafted,2023
978,Peja Stojakovic,27.0,82,229,1996,2023
461,Popeye Jones,34.0,80,265,1992,2023
1542,Predrag Drobnjak,28.0,83,272,1997,2023
2056,Primoz Brezec,24.0,85,252,2000,2023
2047,Quentin Richardson,24.0,77,238,2000,2023
1900,Quincy Lewis,27.0,79,215,1999,2023
2417,Qyntel Woods,23.0,80,221,2002,2023
1711,Raef LaFrentz,28.0,83,245,1998,2023
1747,Rafer Alston,27.0,74,175,1998,2023
1952,Raja Bell,27.0,77,210,Undrafted,2023
988,Randy Livingston,29.0,76,209,1996,2023
1740,Rashard Lewis,24.0,82,215,1998,2023
739,Rasheed Wallace,29.0,83,230,1995,2023
1725,Rasho Nesterovic,28.0,84,248,1998,2023
2446,Rasual Butler,25.0,79,205,2002,2023
2221,Raul Lopez,24.0,72,160,2001,2023
951,Ray Allen,28.0,77,205,1996,2023
2558,Reece Gaines,23.0,78,205,2003,2023
2501,Reggie Evans,24.0,80,245,Undrafted,2023
397,Reggie Miller,38.0,79,195,1987,2023
1888,Richard Hamilton,26.0,79,193,1999,2023
2210,Richard Jefferson,24.0,79,222,2001,2023
2499,Richie Frahm,26.0,77,210,Undrafted,2023
1594,Rick Brunson,32.0,76,190,Undrafted,2023
296,Rick Fox,34.0,79,235,1991,2023
1729,Ricky Davis,24.0,79,195,1998,2023
2425,Robert Archibald,24.0,83,250,2002,2023
109,Robert Horry,33.0,82,208,1992,2023
123,Robert Pack,35.0,74,190,Undrafted,2023
1714,Robert Traylor,27.0,80,284,1998,2023
393,Rod Strickland,37.0,75,185,1988,2023
1934,Rodney Buford,26.0,77,195,1999,2023
915,Rodney Rogers,33.0,79,255,1993,2023
2206,Rodney White,24.0,81,230,2001,2023
2427,Roger Mason Jr.,23.0,77,200,2002,2023
1500,Ron Mercer,28.0,79,210,1997,2023
2648,Ronald Dupree,23.0,79,209,Undrafted,2023
2257,Ruben Boumtje-Boumtje,26.0,84,257,2001,2023
1739,Ruben Patterson,28.0,77,224,1998,2023
1601,Rusty LaRue,30.0,75,185,Undrafted,2023
1763,Ryan Bowen,28.0,81,220,1998,2023
2415,Ryan Humphrey,24.0,80,235,2002,2023
208,Sam Cassell,34.0,75,185,1993,2023
955,Samaki Walker,28.0,81,260,1996,2023
2223,Samuel Dalembert,24.0,83,250,2001,2023
2562,Sasha Pavlovic,20.0,79,210,2003,2023
1513,Scot Pollard,29.0,83,265,1997,2023
1909,Scott Padgett,28.0,81,240,1999,2023
281,Scott Williams,36.0,82,260,Undrafted,2023
937,Scottie Pippen,38.0,80,228,1987,2023
2253,Sean Lampley,24.0,78,213,2001,2023
399,Sean Rooks,34.0,82,260,1992,2023
1742,Shammond Williams,29.0,73,201,1998,2023
1000,Shandon Anderson,30.0,78,210,1996,2023
2203,Shane Battier,25.0,80,220,2001,2023
1049,Shane Heal,33.0,72,180,Undrafted,2023
406,Shaquille O'Neal,32.0,85,340,1992,2023
949,Shareef Abdur-Rahim,27.0,81,245,1996,2023
762,Shawn Bradley,32.0,90,275,1993,2023
1890,Shawn Marion,26.0,79,215,1999,2023
2098,Slava Medvedenko,25.0,82,250,Undrafted,2023
2582,Slavko Vranes,21.0,89,275,2003,2023
2049,Speedy Claxton,26.0,71,170,2000,2023
278,Stacey Augmon,35.0,80,213,1991,2023
1536,Stephen Jackson,26.0,80,218,1997,2023
950,Stephon Marbury,27.0,74,205,1996,2023
2581,Steve Blake,24.0,75,172,2003,2023
1883,Steve Francis,27.0,75,200,1999,2023
959,Steve Nash,30.0,75,195,1996,2023
2212,Steven Hunter,22.0,84,240,2001,2023
120,Steven Smith,35.0,80,221,1991,2023
2031,Stromile Swift,24.0,81,230,2000,2023
2551,T.J. Ford,21.0,72,165,2003,2023
2447,Tamar Slay,24.0,80,215,2002,2023
2419,Tayshaun Prince,24.0,81,215,2002,2023
689,Theo Ratliff,31.0,82,235,1995,2023
2604,Theron Smith,23.0,80,225,Undrafted,2023
2357,Tierre Brown,25.0,74,189,Undrafted,2023
1495,Tim Duncan,28.0,84,260,1997,2023
1501,Tim Thomas,27.0,82,240,1997,2023
339,Tom Gugliotta,34.0,82,250,1992,2023
389,Toni Kukoc,35.0,83,235,1990,2023
1499,Tony Battie,28.0,83,240,1997,2023
960,Tony Delk,30.0,74,189,1996,2023
763,Tony Massenburg,36.0,81,250,1990,2023
2225,Tony Parker,22.0,74,180,2001,2023
1765,Torraye Braggs,28.0,80,245,1998,2023
